date,A123,A200,AAA,BBOZ,BGBL,CYBR,ETHI,GEAR,GGOV,HACK,NDQ
2023-12-04,119.0,,50.1,3.56,55.46,10.35,12.71,23.82,14.03,,36.34
2023-12-05,117.86,,50.11,3.64,55.68,10.53,12.76,23.29,14.09,,36.41
2023-12-06,120.1,,50.11,3.49,56.05,10.61,12.85,24.22,14.28,,36.76
2023-12-07,119.75,,50.12,3.51,56.04,10.57,12.89,24.15,14.42,,36.69
2023-12-08,120.2,,50.12,3.47,55.71,10.46,12.78,24.33,14.4,,36.68
2023-12-11,120.23,,50.15,3.47,56.44,10.62,12.96,24.36,14.28,,37.11
2023-12-12,120.87,,50.15,3.42,56.4,10.75,12.96,24.65,14.3,,37.36
2023-12-13,121.31,,50.16,3.4,56.88,10.92,13.13,24.81,14.33,,37.89
2023-12-14,123.33,,50.16,3.25,56.56,10.88,13.04,25.74,14.7,,37.66
2023-12-15,124.25,,50.17,3.19,56.61,10.86,13.08,26.22,14.9,,37.43
2023-12-18,124.06,,50.18,3.2,56.49,10.96,13.08,26.11,15.04,,37.61
2023-12-19,125.15,,50.19,3.14,56.59,11.0,13.06,26.53,14.95,,37.72
2023-12-20,125.93,,50.2,3.09,56.6,11.01,13.05,26.96,15.01,,37.7
2023-12-21,125.34,,50.21,3.13,56.12,10.9,12.9,26.68,15.09,,37.39
2023-12-22,125.31,,50.21,3.13,56.17,10.84,12.9,26.65,14.95,,37.38
2023-12-27,126.35,,50.24,3.06,56.26,10.89,12.9,27.14,14.98,,37.45
2023-12-28,127.42,,50.25,3.01,56.41,10.9,12.98,27.63,15.17,,37.54
2023-12-29,126.93,,50.26,3.04,56.37,10.83,12.98,27.38,15.08,,37.48
2024-01-02,126.56,,50.1,3.0,56.27,10.82,12.93,27.11,14.79,,37.37
2024-01-03,124.78,,50.11,3.12,56.29,10.65,12.91,26.29,14.75,,37.03
2024-01-04,124.34,,50.12,3.14,56.1,10.53,12.83,26.08,14.78,,36.85
2024-01-05,124.24,,50.12,3.15,56.36,10.56,12.89,25.98,14.61,,36.87
2024-01-08,123.62,,50.14,3.2,56.32,10.5,12.92,25.69,14.43,,36.87
2024-01-09,124.8,,50.15,3.13,56.93,10.75,13.11,26.24,14.54,,37.53
2024-01-10,123.93,,50.15,3.18,56.94,10.91,13.15,25.82,14.5,,37.69
2024-01-11,124.63,,50.16,3.13,57.33,11.07,13.25,26.13,14.47,,38.0
2024-01-12,124.27,,50.16,3.16,57.27,11.19,13.27,25.99,14.55,,37.97
2024-01-15,124.5,,50.17,3.15,57.51,11.34,13.28,26.04,14.5,,38.16
2024-01-16,123.07,,50.19,3.24,57.75,11.33,13.35,25.36,14.38,,38.37
2024-01-17,122.67,,50.19,3.26,57.99,11.43,13.45,25.17,14.21,,38.73
2024-01-18,121.95,,50.19,3.32,57.76,11.4,13.44,24.82,14.19,,38.67
2024-01-19,123.23,,50.2,3.24,58.08,11.51,13.53,25.41,14.0,,39.26
2024-01-22,124.05,,50.23,3.19,58.73,11.62,13.72,25.8,14.19,,40.04
2024-01-23,124.78,,50.22,3.15,58.7,11.74,13.7,26.1,14.18,,39.83
2024-01-24,124.86,,50.23,3.15,59.1,11.78,13.77,26.15,14.09,,40.31
2024-01-25,125.47,,50.25,3.11,59.07,11.76,13.8,26.4,14.04,,40.31
2024-01-29,125.84,,50.27,3.09,59.21,11.71,13.78,26.55,14.1,,40.06
2024-01-30,126.22,,50.27,3.07,59.55,11.94,13.9,26.72,14.32,,40.35
2024-01-31,127.46,,50.27,2.99,59.66,11.91,13.96,27.34,14.44,,39.99
2024-02-01,125.98,,50.09,3.08,59.43,11.77,13.93,26.62,14.57,,39.85
2024-02-02,127.79,,50.09,2.97,59.77,11.78,13.95,27.48,14.71,,40.26
2024-02-05,126.59,,50.11,3.04,60.46,11.85,14.09,26.89,14.4,,41.0
2024-02-06,125.88,,50.12,3.09,60.35,11.81,14.16,26.54,14.21,,41.05
2024-02-07,126.43,,50.12,3.05,60.43,11.98,14.17,26.84,14.33,,40.78
2024-02-08,126.88,,50.12,3.04,60.9,12.03,14.31,26.99,14.26,,41.29
2024-02-09,126.95,,50.14,3.03,61.07,12.39,14.37,27.02,14.17,,41.53
2024-02-12,126.41,,50.15,3.07,61.2,12.48,14.44,26.73,14.14,,41.73
2024-02-13,126.26,,50.16,3.07,61.14,12.33,14.46,26.69,14.08,,41.52
2024-02-14,125.31,,50.17,3.14,60.82,12.26,14.39,26.21,13.88,,41.3
2024-02-15,126.21,,50.17,3.07,61.25,12.42,14.51,26.68,14.03,,41.62
2024-02-16,127.14,,50.18,3.03,61.46,12.21,14.56,27.09,13.99,,41.57
2024-02-19,127.22,,50.19,3.02,61.02,12.14,14.42,27.13,13.98,,41.03
2024-02-20,127.26,,50.2,3.02,60.95,12.1,14.39,27.12,13.92,,40.92
2024-02-21,126.58,,50.2,3.07,60.53,11.58,14.2,26.8,13.98,,40.38
2024-02-22,126.75,,50.21,3.06,61.16,11.55,14.38,26.86,13.9,,41.03
2024-02-23,127.23,,50.22,3.04,61.74,11.67,14.58,27.09,13.93,,41.54
2024-02-26,127.46,,50.24,3.02,61.73,11.73,14.59,27.18,14.18,,41.39
2024-02-27,127.72,,50.24,3.02,61.81,11.94,14.62,27.29,14.09,,41.47
2024-02-28,127.85,,50.24,3.01,62.16,12.01,14.75,27.32,14.01,,41.77
2024-02-29,128.43,,50.25,2.97,62.05,12.12,14.71,27.64,14.02,,41.59
2024-03-01,129.33,,50.09,2.91,62.53,12.12,14.8,28.03,14.15,,42.13
2024-03-04,129.19,,50.1,2.93,62.75,12.16,14.89,27.95,14.23,,42.61
2024-03-05,129.09,,50.11,2.94,62.76,12.18,14.92,27.92,14.18,,42.38
2024-03-06,129.37,,50.12,2.93,62.33,12.23,14.85,28.0,14.34,,41.77
2024-03-07,130.36,,50.12,2.87,61.85,11.86,14.78,28.46,14.46,,41.35
2024-03-08,131.72,,50.12,2.79,62.27,11.98,14.86,29.08,14.48,,41.79
2024-03-11,129.41,,50.15,2.93,61.88,11.86,14.69,27.99,14.48,,41.19
2024-03-12,129.46,,50.14,2.92,62.04,12.0,14.74,28.03,14.46,,41.41
2024-03-13,129.8,,50.16,2.9,62.44,11.98,14.89,28.19,14.3,,41.77
2024-03-14,129.56,,50.16,2.92,62.48,11.99,14.85,28.05,14.22,,41.56
2024-03-15,128.76,,50.17,2.97,62.66,11.96,14.78,27.67,14.05,,41.52
2024-03-18,129.01,,50.19,2.95,62.55,11.81,14.79,27.78,14.02,,41.33
2024-03-19,129.45,,50.2,2.92,62.93,11.79,14.88,27.96,14.0,,41.65
2024-03-20,129.26,,50.19,2.94,63.25,11.73,14.94,27.88,14.01,,41.8
2024-03-21,130.83,,50.21,2.86,63.28,11.77,14.98,28.6,14.02,,42.06
2024-03-22,130.5,,50.21,2.87,64.05,11.97,15.22,28.44,14.11,,42.6
2024-03-25,131.34,,50.23,2.84,63.88,,15.15,28.83,14.16,11.83,42.59
2024-03-26,130.89,,50.24,2.86,63.67,,15.13,28.54,14.11,11.78,42.45
2024-03-27,131.46,,50.25,2.83,63.92,,15.16,28.83,14.12,11.87,42.49
2024-03-28,132.74,,50.26,2.77,64.1,,15.15,29.44,14.22,11.78,42.48
2024-04-02,131.46,,50.1,2.77,64.17,,15.11,29.33,13.92,11.9,42.68
2024-04-03,129.78,,50.11,2.87,63.49,,14.85,28.48,13.83,11.72,42.09
2024-04-04,130.41,,50.12,2.84,63.33,,14.8,28.8,13.78,11.7,42.02
2024-04-05,129.59,,50.13,2.88,62.5,,14.58,28.43,13.9,11.51,41.34
2024-04-08,129.9,,50.15,2.87,62.99,,14.68,28.55,13.67,11.61,41.71
2024-04-09,130.47,,50.14,2.84,62.91,,14.66,28.8,13.74,11.59,41.57
2024-04-10,130.9,,50.16,2.82,62.85,,14.62,28.97,13.86,11.61,41.66
2024-04-11,130.2,,50.16,2.86,63.14,,14.65,28.68,13.56,11.65,41.9
2024-04-12,129.8,,50.17,2.88,63.4,,14.73,28.5,13.5,11.76,42.57
2024-04-15,129.25,,50.18,2.92,63.11,,14.65,28.23,13.48,11.67,42.27
2024-04-16,126.98,,50.19,3.03,62.65,,14.53,27.13,13.33,11.4,41.77
2024-04-17,126.87,,50.2,3.04,62.48,,14.52,27.12,13.25,11.42,41.75
2024-04-18,127.45,,50.21,3.02,62.35,,14.43,27.33,13.43,11.34,41.36
2024-04-19,126.17,,50.22,3.09,61.92,,14.28,26.73,13.48,11.26,40.84
2024-04-22,127.53,,50.22,3.01,62.0,,14.26,27.35,13.3,11.31,40.42
2024-04-23,128.15,,50.24,2.98,62.1,,14.31,27.6,13.36,11.31,40.39
2024-04-24,128.18,,50.24,2.98,62.5,,14.48,27.63,13.32,11.46,40.95
2024-04-26,126.39,,50.25,3.08,62.25,,14.3,26.78,13.23,11.38,40.91
2024-04-29,127.35,,50.26,3.03,62.28,,14.43,27.25,13.27,11.54,41.05
2024-04-30,127.82,,50.27,3.01,62.55,,14.49,27.43,13.36,11.55,41.35
2024-05-01,126.27,,50.09,3.09,62.11,,14.34,26.73,13.22,11.46,40.7
